pde,trial,d_hidden,d_model,mapping_size,n_params,lbfgs_iters,final_rrmse,final_rmae,train_time,seed
pde3,27,256,16,48,147359,1000,0.00032450543566702687,,682.1961069107056,42
pde3,28,768,128,64,905103,1000,0.00021510455728319353,,1603.3458433151245,42
pde3,29,768,16,80,682399,1000,0.0004250617844373482,,1290.4382662773132,42
pde3,30,128,32,32,109743,1000,0.00028936641130620626,,568.3275148868561,42
pde3,31,512,16,128,351391,1000,0.0003258188736875851,,842.4288876056671,42
pde3,32,768,128,80,909199,1000,0.00019721176407476126,,1421.6174323558807,42
pde3,33,256,128,96,321935,1000,0.0002317278583750279,,820.2139637470245,42
pde3,34,128,64,128,157135,1000,0.0002481416287057857,,668.9321804046631,42
pde3,35,128,16,112,97823,1000,0.00021751032709547348,,589.3030209541321,42
pde3,36,128,128,112,260111,1000,0.0002566953685182019,,733.2091524600983,42
pde3,37,512,32,80,372015,1000,0.0002676978488035236,,761.2125911712646,42
pde3,38,768,16,96,682911,1000,0.0005815653451637866,,1458.0074923038483,42
pde3,39,512,32,96,373039,1000,0.00025127529793964737,,976.6628816127777,42
pde3,40,256,64,32,202575,1000,0.000290362847746669,,805.519957780838,42
pde3,41,512,32,16,367919,1000,0.0003519294202034187,,1190.7828006744385,42
pde3,42,768,16,128,683935,1000,0.0004832378073217784,,1352.911818265915,42
pde3,43,512,64,64,420431,1000,0.0003210685481337273,,928.9966230392456,42
pde3,44,128,32,16,108719,1000,0.00035207840782045777,,540.0169062614441,42
pde3,45,256,16,128,149919,1000,0.00034549175364399667,,703.2525722980499,42
pde3,46,128,128,16,235535,1000,0.000308793816206188,,620.3600986003876,42
pde3,47,128,64,96,153039,1000,0.0002714264141326404,,680.7088112831116,42
pde4,0,512,32,48,369967,1000,0.01704432083352338,0.01695425717204192,4753.30784702301,42
pde4,1,128,128,96,256015,1000,0.004691557939887871,0.004562968748427772,3898.097294807434,42
pde4,2,256,128,96,321935,1000,0.003732150407182607,0.0035633888759285357,4024.348973751068,42
pde4,3,128,32,80,112815,1000,0.007545559347293777,0.0071435646036488495,3419.9905235767365,42
pde4,4,768,64,32,761167,1000,0.008163767323792972,0.007947139696973408,6080.039834022522,42
pde4,5,256,16,96,148895,1000,0.019376332119892637,0.018786175814990543,3277.1261801719666,42
pde4,6,128,64,32,144847,1000,0.004416572089735462,0.004264718409317675,3311.8683745861053,42
pde4,7,256,128,64,313743,1000,0.004501527311264538,0.0042764011418816444,4786.157806396484,42
pde4,8,768,128,80,909199,1000,0.005869683513968889,0.0055230654786284535,7631.00053691864,42
pde4,9,256,64,64,206671,1000,0.0078072262076028355,0.007343194717731018,4086.126033306122,42
pde4,10,128,64,48,146895,1000,0.004738159845027848,0.004451652199827167,3324.8730170726776,42
pde4,11,512,16,80,349855,1000,0.013194571892846575,0.012788961644081604,4596.593901157379,42
pde4,12,512,128,112,556175,1000,0.004450804457048618,0.004298993895147186,5764.93200469017,42
pde4,13,256,32,32,163375,1000,0.01037458110036169,0.009761361341096949,3505.7699387073517,42
pde4,14,256,32,64,165423,1000,0.0072778304320475105,0.007041493997999834,3446.6924102306366,42
pde4,15,256,32,128,169519,1000,0.00984312070852035,0.009416206050331043,3841.731995344162,42
pde4,16,768,128,16,892815,1000,0.004436737679737593,0.0041142489266090656,7338.177320718765,42
pde4,17,768,64,80,767311,1000,0.007159102617963284,0.006767771209381912,6999.126390457153,42
pde4,18,128,128,32,239631,1000,0.0056171523262933225,0.005355691974081794,4084.1215965747833,42
pde4,19,512,128,96,552079,1000,0.004779531612755732,0.0046058267664438,5904.406482696533,42
